"Good Days","Unhealthy Days","Days NO2","Number_fires","Length","Area","Visits_all"
"Mean",221.22,3.62,1.86,1.16,23.12,8954.2,1947.2
"Mean",130,17.25,36.25,1.75,25.5,23182.75,18260
"Standard Dev",92.268970174934,7.15396279508563,4.92809521508864,1.67039039797068,43.8506928714487,25246.5596718703,2726.24479712985
"Standard Dev",132.675041611701,22.2017266595791,6.5,2.3629078131263,31.2996272608264,26817.9807514163,21671.7044861112
