"Good Days","Unhealthy Days","Days NO2","Number_fires","Length","Area","Visits_all"
"Mean",234.666666666667,1.33333333333333,2.83333333333333,3.5,78,76742.8333333333,2190.5
"Mean",188.645833333333,5.89583333333333,5.27083333333333,0.604166666666667,7.16666666666667,1232.125,3522.4375
"Standard Dev",86.5809832853997,1.211060141639,6.94022093788567,1.22474487139159,56.2281068505779,80954.5601122424,4351.62396123562
"Standard Dev",96.4028536664525,11.718760342785,13.0510284641338,0.892988845403001,16.5520884242948,2809.8503679779,7639.36302877225
