"Good Days","Unhealthy Days","Days NO2","Number_fires","Length","Area","Visits_all"
"Mean",212.425531914894,1.63829787234043,4.4468085106383,0.638297872340426,7.19148936170213,8707.08510638298,1747.57446808511
"Mean",46.7142857142857,27.5714285714286,10.5714285714286,3,52.1428571428571,19015,13877.2857142857
"Standard Dev",77.9745623740737,3.41623700885163,10.3520813085609,0.673263690020279,16.7457175549223,38038.9777104153,2565.48954345848
"Standard Dev",16.3881490282286,14.5127202005361,13.4394586058757,2,61.2275226006207,20123.3273093691,16097.0275901514
