"Good Days","Unhealthy Days","Days NO2","Number_fires","Length","Area","Visits_all"
"Mean",200.4,4.54,5.86,0.82,8.6,4299.36,3563.6
"Mean",146.25,5.75,0,3,139.75,135753.5,2108.75
"Standard Dev",94.6924129021142,9.22554129820565,13.0352896212629,1.08213696368032,14.0480225930737,12282.151627563,7757.53160825409
"Standard Dev",137.967085446735,11.5,0,1.82574185835055,62.7289141199389,66460.6987148545,3810.06862361647
