"Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5326.81,2982.17,1.79,0.08
"`Good Days`",-20.17,12.41,-1.63,0.11
"`Unhealthy Days`",181.41,102.95,1.76,0.08
"`Days NO2`",192.55,71.47,2.69,0.01
"Number_fires",559.3,995.87,0.56,0.58
"Length",-52.95,51.41,-1.03,0.31
"Area",0.03,0.04,0.77,0.45
