"Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",3712.93,3008.08,1.23,0.22
"`Good Days`",-13.19,12.14,-1.09,0.28
"`Unhealthy Days`",193.19,89.13,2.17,0.04
"`Days NO2`",154.46,63.74,2.42,0.02
"Number_fires",560.35,2117.98,0.26,0.79
"Length",-321.46,581.9,-0.55,0.58
"Area",0.26,0.32,0.83,0.41
