"Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",3835.99,2681.34,1.43,0.16
"`Good Days`",-16.92,10.28,-1.64,0.11
"`Unhealthy Days`",19.08,110.62,0.17,0.86
"`Days NO2`",344.99,78.34,4.4,0
"Number_fires",1622.48,859.16,1.89,0.07
"Length",-30.6,33.05,-0.93,0.36
"Area",0.01,0.05,0.21,0.83
