"Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",807.72,2755.54,0.29,0.77
"`Good Days`",-5.59,10.93,-0.51,0.61
"`Unhealthy Days`",393.87,111.82,3.52,0
"`Days NO2`",177.85,61.61,2.89,0.01
"Number_fires",1832.91,792.48,2.31,0.03
"Length",-41.07,40.69,-1.01,0.32
"Area",-0.01,0.04,-0.17,0.86
